Round,Accuracy
0,0.0897
1,0.683
2,0.946
3,0.9546
4,0.9722
5,0.9785
6,0.979
7,0.9829
8,0.9826
9,0.982
10,0.9832
11,0.9831
12,0.9851
13,0.9851
14,0.9847
15,0.9848
16,0.9844
17,0.9851
18,0.9862
19,0.9863
20,0.9873
21,0.9865
22,0.9866
23,0.9862
24,0.9863
25,0.9866
26,0.9871
27,0.9865
28,0.9863
29,0.9864
30,0.9865
31,0.9866
32,0.9871
33,0.9875
34,0.9863
35,0.9874
36,0.9871
37,0.9878
38,0.9869
39,0.9868
40,0.9868
41,0.987
42,0.9868
43,0.9861
44,0.9865
45,0.9876
46,0.9883
47,0.988
48,0.9886
49,0.9884
50,0.9859
